Category,Example (trigger words),Sensitivity (1–10)
Full Name,Aisha Al-Khaldi,6
Full Name,Omar bin Said,6
Full Name,Layla Hassan,6
Full Name,Fatima Al-Salmi,6
Full Name,Hassan Qureshi,6
Full Name,Zahra Al-Farsi,6
Full Name,Ahmed Al-Balushi,6
Full Name,Maya Yusuf,6
Full Name,Yousef Al-Harthy,6
Full Name,Noor Al-Mahrouqi,6
Full Name,Samira Rahman,6
Full Name,Khalid Mazrouei,6
Full Name,Reem Abdullah,6
Full Name,Salim Barwani,6
Full Name,Ranya Saeed,6
Username / Handle,@wanderwithomar,6
Username / Handle,@aisha.shots,6
Username / Handle,@laylaskitchen,6
Username / Handle,@theomandream,6
Username / Handle,@zahratravels,6
Username / Handle,@fatima.codes,6
Username / Handle,@khalid.motion,6
Username / Handle,@reemsrecipes,6
Username / Handle,@noorclicks,6
Username / Handle,@hassan.trek,6
Username / Handle,@salim.lens,6
Username / Handle,@maya.creates,6
Username / Handle,@barwani.media,6
Username / Handle,@muscatmoments,6
Username / Handle,@ranya.vibes,6
Age,18,8
Age,20,8
Age,22,8
Age,23,8
Age,25,8
Age,26,8
Age,28,8
Age,30,8
Age,31,8
Age,33,8
Age,35,8
Age,37,8
Age,40,8
Age,42,8
Age,45,8
Gender,Female,7
Gender,Male,7
Gender,Non-binary,7
Gender,Transgender woman,7
Gender,Transgender man,7
Gender,Genderfluid,7
Gender,Agender,7
Gender,Bigender,7
Gender,Two-Spirit,7
Gender,Demiboy,7
Gender,Demigirl,7
Gender,Androgyne,7
Gender,Pangender,7
Gender,Questioning,7
Gender,Prefer not to say,7
Location (City),Muscat,8
Location (City),Salalah,8
Location (City),Sohar,8
Location (City),Nizwa,8
Location (City),Sur,8
Location (City),Ibri,8
Location (City),Barka,8
Location (City),Rustaq,8
Location (City),Bahla,8
Location (City),Shinas,8
Location (City),Duqm,8
Location (City),Ibra,8
Location (City),Bidbid,8
Location (City),Khasab,8
Location (City),Adam,8
Nationality,Omani,8
Nationality,Emirati,8
Nationality,Yemeni,8
Nationality,Indian,8
Nationality,Pakistani,8
Nationality,Bangladeshi,8
Nationality,Egyptian,8
Nationality,Sudanese,8
Nationality,Filipino,8
Nationality,Jordanian,8
Nationality,Syrian,8
Nationality,Palestinian,8
Nationality,British,8
Nationality,American,8
Nationality,Canadian,8
Current Job Title,Photographer,7
Current Job Title,Graphic Designer,7
Current Job Title,Software Engineer,7
Current Job Title,Social Media Manager,7
Current Job Title,Content Creator,7
Current Job Title,Marketing Specialist,7
Current Job Title,UX/UI Designer,7
Current Job Title,Data Analyst,7
Current Job Title,Digital Strategist,7
Current Job Title,Project Coordinator,7
Current Job Title,Sales Executive,7
Current Job Title,Event Planner,7
Current Job Title,Copywriter,7
Current Job Title,Teacher,7
Current Job Title,Fitness Coach,7
Employer or Company Name,Omantel,8
Employer or Company Name,Ooredoo,8
Employer or Company Name,Bank Muscat,8
Employer or Company Name,Ministry of Education,8
Employer or Company Name,Petroleum Development Oman,8
Employer or Company Name,Royal Oman Police,8
Employer or Company Name,Al Jazeera,8
Employer or Company Name,Oman Air,8
Employer or Company Name,Shell Oman,8
Employer or Company Name,Gulf Air,8
Employer or Company Name,Dhofar Insurance,8
Employer or Company Name,Oman Oil,8
Employer or Company Name,Al Maha Petroleum,8
Employer or Company Name,National Bank of Oman,8
Employer or Company Name,Sohar Aluminium,8
Education (Degree),BA in English,6
Education (Degree),BSc in Computer Science,6
Education (Degree),BA in Mass Communication,6
Education (Degree),MBA in Marketing,6
Education (Degree),Diploma in Graphic Design,6
Education (Degree),BSc in Electrical Engineering,6
Education (Degree),MA in Sociology,6
Education (Degree),BBA in Finance,6
Education (Degree),LLB in Law,6
Education (Degree),PhD in Environmental Science,6
Education (Degree),Diploma in Culinary Arts,6
Education (Degree),BEd in Primary Education,6
Education (Degree),BFA in Visual Arts,6
Education (Degree),MSc in Cybersecurity,6
Education (Degree),BS in Psychology,6
University / College Attended,Sultan Qaboos University,6
University / College Attended,University of Nizwa,6
University / College Attended,Dhofar University,6
University / College Attended,Muscat University,6
University / College Attended,Middle East College,6
University / College Attended,Caledonian College,6
University / College Attended,Waljat College,6
University / College Attended,Majan University College,6
University / College Attended,Modern College of Business and Science,6
University / College Attended,Gulf College,6
University / College Attended,University of Buraimi,6
University / College Attended,Sur University College,6
University / College Attended,Shinas College of Technology,6
University / College Attended,Ibri College of Applied Sciences,6
University / College Attended,Salalah College of Technology,6
Relationship Status,Single,8
Relationship Status,In a relationship,8
Relationship Status,Engaged,8
Relationship Status,Married,8
Relationship Status,Separated,8
Relationship Status,Divorced,8
Relationship Status,Widowed,8
Relationship Status,Open relationship,8
Relationship Status,Complicated,8
Relationship Status,In a long-distance relationship,8
Relationship Status,Seeing someone,8
Relationship Status,It’s private,8
Relationship Status,Recently broken up,8
Relationship Status,Waiting for the one,8
Relationship Status,Not interested,8
Phone Number,+968 9123 4567,10
Phone Number,+968 9234 5678,10
Phone Number,+968 9345 6789,10
Phone Number,+968 9456 7890,10
Phone Number,+968 9567 8901,10
Phone Number,+968 9678 9012,10
Phone Number,+968 9789 0123,10
Phone Number,+968 9890 1234,10
Phone Number,+968 9901 2345,10
Phone Number,+968 9012 3456,10
Phone Number,+968 9120 1122,10
Phone Number,+968 9230 3344,10
Phone Number,+968 9340 5566,10
Phone Number,+968 9450 7788,10
Phone Number,+968 9560 9900,10
Email Address,aisha.photog@gmail.com,9
Email Address,omar.visuals@outlook.com,9
Email Address,noor.clicks@yahoo.com,9
Email Address,fatima.codes@icloud.com,9
Email Address,hassan.trips@gmail.com,9
Email Address,maya.designs@live.com,9
Email Address,reem.foodie@gmail.com,9
Email Address,khalid.media@zoho.com,9
Email Address,zahratravels@hotmail.com,9
Email Address,ahmed.dev@gmail.com,9
Email Address,salim.events@gmail.com,9
Email Address,muscat.moments@icloud.com,9
Email Address,ranya.vibes@protonmail.com,9
Email Address,you.said@gmail.com,9
Email Address,albalushi.creates@gmail.com,9
Birthday,"Jan 3, 1995",9
Birthday,"Feb 15, 1998",9
Birthday,"Mar 8, 1987",9
Birthday,"Apr 21, 1993",9
Birthday,"May 1, 2000",9
Birthday,"Jun 29, 1996",9
Birthday,"Jul 12, 1992",9
Birthday,"Aug 18, 1985",9
Birthday,"Sep 23, 1990",9
Birthday,"Oct 30, 1983",9
Birthday,"Nov 14, 1997",9
Birthday,"Dec 25, 1989",9
Birthday,"Apr 4, 2001",9
Birthday,"Jun 11, 1988",9
Birthday,"Mar 3, 1994",9
Languages Spoken,Arabic,6
Languages Spoken,English,6
Languages Spoken,Hindi,6
Languages Spoken,French,6
Languages Spoken,Tagalog,6
Languages Spoken,Urdu,6
Languages Spoken,German,6
Languages Spoken,Mandarin,6
Languages Spoken,Malayalam,6
Languages Spoken,Italian,6
Languages Spoken,Punjabi,6
Languages Spoken,Pashto,6
Languages Spoken,Swahili,6
Languages Spoken,Turkish,6
Languages Spoken,Russian,6
Religion,Islam,7
Religion,Christianity,7
Religion,Hinduism,7
Religion,Buddhism,7
Religion,Judaism,7
Religion,Atheist,7
Religion,Agnostic,7
Religion,Sikhism,7
Religion,Spiritual,7
Religion,Baháʼí,7
Religion,Zoroastrian,7
Religion,Jainism,7
Religion,Rastafarian,7
Religion,No religion,7
Religion,Prefer not to say,7
Hobbies,Photography,4
Hobbies,Cooking,4
Hobbies,Traveling,4
Hobbies,Hiking,4
Hobbies,Cycling,4
Hobbies,Reading,4
Hobbies,Painting,4
Hobbies,Swimming,4
Hobbies,Coding,4
Hobbies,Blogging,4
Hobbies,Gaming,4
Hobbies,Dancing,4
Hobbies,Knitting,4
Hobbies,Fishing,4
Hobbies,Playing piano,4
